symbol,buy_trades_3d,sell_trades_3d,total_trades_3d,buy_sell_ratio,dates_used
ONGUSDT,12996,8218,21214,1.5814,2026-05-21|2026-05-20|2026-05-19
HAEDALUSDT,13319,7683,21002,1.7336,2026-05-21|2026-05-20|2026-05-19
MMTUSDT,11813,9116,20929,1.2959,2026-05-21|2026-05-20|2026-05-19
CTKUSDT,10062,10804,20866,0.9313,2026-05-21|2026-05-20|2026-05-19
OGUSDT,9978,9883,19861,1.0096,2026-05-21|2026-05-20|2026-05-19
IOTAUSDT,9184,10568,19752,0.8690,2026-05-21|2026-05-20|2026-05-19
ESPUSDT,9286,10238,19524,0.9070,2026-05-21|2026-05-20|2026-05-19
QIUSDT,9017,10470,19487,0.8612,2026-05-21|2026-05-20|2026-05-19
ARPAUSDT,9988,9372,19360,1.0657,2026-05-21|2026-05-20|2026-05-19
CITYUSDT,10898,8260,19158,1.3194,2026-05-21|2026-05-20|2026-05-19
YGGUSDT,9620,9522,19142,1.0103,2026-05-21|2026-05-20|2026-05-19
RSRUSDT,8986,9993,18979,0.8992,2026-05-21|2026-05-20|2026-05-19
MEMEUSDT,8053,10627,18680,0.7578,2026-05-21|2026-05-20|2026-05-19
1MBABYDOGEUSDT,9799,8777,18576,1.1164,2026-05-21|2026-05-20|2026-05-19
POLYXUSDT,8599,9934,18533,0.8656,2026-05-21|2026-05-20|2026-05-19
SCRTUSDT,10431,7978,18409,1.3075,2026-05-21|2026-05-20|2026-05-19
API3USDT,7598,10640,18238,0.7141,2026-05-21|2026-05-20|2026-05-19
ATAUSDT,9008,9038,18046,0.9967,2026-05-21|2026-05-20|2026-05-19
VANAUSDT,9933,7923,17856,1.2537,2026-05-21|2026-05-20|2026-05-19
XNOUSDT,10976,6651,17627,1.6503,2026-05-21|2026-05-20|2026-05-19
TREEUSDT,9037,8291,17328,1.0900,2026-05-21|2026-05-20|2026-05-19
AUDIOUSDT,7625,9573,17198,0.7965,2026-05-21|2026-05-20|2026-05-19
FTTUSDT,8806,8293,17099,1.0619,2026-05-21|2026-05-20|2026-05-19
REZUSDT,8693,8343,17036,1.0420,2026-05-21|2026-05-20|2026-05-19
QTUMUSDT,10048,6925,16973,1.4510,2026-05-21|2026-05-20|2026-05-19
BMTUSDT,8807,8027,16834,1.0972,2026-05-21|2026-05-20|2026-05-19
EPICUSDT,8405,8223,16628,1.0221,2026-05-21|2026-05-20|2026-05-19
0GUSDT,8624,7686,16310,1.1220,2026-05-21|2026-05-20|2026-05-19
FARMUSDT,6850,9449,16299,0.7249,2026-05-21|2026-05-20|2026-05-19
BNSOLUSDT,8698,7472,16170,1.1641,2026-05-21|2026-05-20|2026-05-19
DIAUSDT,7736,8398,16134,0.9212,2026-05-21|2026-05-20|2026-05-19
OGNUSDT,7404,8685,16089,0.8525,2026-05-21|2026-05-20|2026-05-19
MUBARAKUSDT,7653,8411,16064,0.9099,2026-05-21|2026-05-20|2026-05-19
PORTALUSDT,7054,8890,15944,0.7935,2026-05-21|2026-05-20|2026-05-19
AUSDT,8387,7414,15801,1.1312,2026-05-21|2026-05-20|2026-05-19
REDUSDT,9237,6417,15654,1.4395,2026-05-21|2026-05-20|2026-05-19
SIGNUSDT,7374,7711,15085,0.9563,2026-05-21|2026-05-20|2026-05-19
DCRUSDT,7381,7683,15064,0.9607,2026-05-21|2026-05-20|2026-05-19
PORTOUSDT,7630,7357,14987,1.0371,2026-05-21|2026-05-20|2026-05-19
BANANAUSDT,6873,7575,14448,0.9073,2026-05-21|2026-05-20|2026-05-19
XAIUSDT,6415,8001,14416,0.8018,2026-05-21|2026-05-20|2026-05-19
ENSUSDT,5992,8225,14217,0.7285,2026-05-21|2026-05-20|2026-05-19
SNXUSDT,6986,7227,14213,0.9667,2026-05-21|2026-05-20|2026-05-19
XTZUSDT,6695,6925,13620,0.9668,2026-05-21|2026-05-20|2026-05-19
VTHOUSDT,8324,5061,13385,1.6447,2026-05-21|2026-05-20|2026-05-19
SLPUSDT,6643,6638,13281,1.0008,2026-05-21|2026-05-20|2026-05-19
